Problem Name,Params,Algorithm,Heuristic,Initial State,Final State,Path,Path Cost,Action Sequence,Run Time,Memory Used,Depth,Branching Factor,Generated Nodes,Visited Nodes,Max Nodes in Frontier,No Leaf Nodes,Brute Memory Generated
NPuzzle,8,AStarSearch,manhattan,"(5, 6, 7, 8, 4, 2, 1, 0, 3)","(1, 2, 3, 4, 5, 6, 7, 8, 0)","[(5, 6, 7, 8, 4, 2, 1, 0, 3), (5, 6, 7, 8, 0, 2, 1, 4, 3), (5, 6, 7, 0, 8, 2, 1, 4, 3), (0, 6, 7, 5, 8, 2, 1, 4, 3), (6, 0, 7, 5, 8, 2, 1, 4, 3), (6, 7, 0, 5, 8, 2, 1, 4, 3), (6, 7, 2, 5, 8, 0, 1, 4, 3), (6, 7, 2, 5, 0, 8, 1, 4, 3), (6, 0, 2, 5, 7, 8, 1, 4, 3), (0, 6, 2, 5, 7, 8, 1, 4, 3), (5, 6, 2, 0, 7, 8, 1, 4, 3), (5, 6, 2, 1, 7, 8, 0, 4, 3), (5, 6, 2, 1, 7, 8, 4, 0, 3), (5, 6, 2, 1, 0, 8, 4, 7, 3), (5, 0, 2, 1, 6, 8, 4, 7, 3), (0, 5, 2, 1, 6, 8, 4, 7, 3), (1, 5, 2, 0, 6, 8, 4, 7, 3), (1, 5, 2, 4, 6, 8, 0, 7, 3), (1, 5, 2, 4, 6, 8, 7, 0, 3), (1, 5, 2, 4, 0, 8, 7, 6, 3), (1, 5, 2, 4, 8, 0, 7, 6, 3), (1, 5, 2, 4, 8, 3, 7, 6, 0), (1, 5, 2, 4, 8, 3, 7, 0, 6), (1, 5, 2, 4, 0, 3, 7, 8, 6), (1, 0, 2, 4, 5, 3, 7, 8, 6), (1, 2, 0, 4, 5, 3, 7, 8, 6), (1, 2, 3, 4, 5, 0, 7, 8, 6), (1, 2, 3, 4, 5, 6, 7, 8, 0)]",27,"[Up, Left, Up, Right, Right, Down, Left, Up, Left, Down, Down, Right, Up, Up, Left, Down, Down, Right, Up, Right, Down, Left, Up, Up, Right, Down, Down]",0.2854,348576,27,2.6553,17635,6642,10994,6641,987560
NPuzzle,8,AStarSearch,manhattan,"(3, 5, 1, 0, 4, 2, 7, 8, 6)","(1, 2, 3, 4, 5, 6, 7, 8, 0)","[(3, 5, 1, 0, 4, 2, 7, 8, 6), (3, 5, 1, 4, 0, 2, 7, 8, 6), (3, 0, 1, 4, 5, 2, 7, 8, 6), (0, 3, 1, 4, 5, 2, 7, 8, 6), (4, 3, 1, 0, 5, 2, 7, 8, 6), (4, 3, 1, 5, 0, 2, 7, 8, 6), (4, 0, 1, 5, 3, 2, 7, 8, 6), (4, 1, 0, 5, 3, 2, 7, 8, 6), (4, 1, 2, 5, 3, 0, 7, 8, 6), (4, 1, 2, 5, 0, 3, 7, 8, 6), (4, 1, 2, 0, 5, 3, 7, 8, 6), (0, 1, 2, 4, 5, 3, 7, 8, 6), (1, 0, 2, 4, 5, 3, 7, 8, 6), (1, 2, 0, 4, 5, 3, 7, 8, 6), (1, 2, 3, 4, 5, 0, 7, 8, 6), (1, 2, 3, 4, 5, 6, 7, 8, 0)]",15,"[Right, Up, Left, Down, Right, Up, Right, Down, Left, Left, Up, Right, Right, Down, Down]",0.0049,5848,15,2.7179,319,118,202,117,17864
NPuzzle,8,AStarSearch,manhattan,"(6, 8, 0, 5, 3, 2, 7, 1, 4)","(1, 2, 3, 4, 5, 6, 7, 8, 0)","[(6, 8, 0, 5, 3, 2, 7, 1, 4), (6, 0, 8, 5, 3, 2, 7, 1, 4), (6, 3, 8, 5, 0, 2, 7, 1, 4), (6, 3, 8, 5, 2, 0, 7, 1, 4), (6, 3, 0, 5, 2, 8, 7, 1, 4), (6, 0, 3, 5, 2, 8, 7, 1, 4), (0, 6, 3, 5, 2, 8, 7, 1, 4), (5, 6, 3, 0, 2, 8, 7, 1, 4), (5, 6, 3, 2, 0, 8, 7, 1, 4), (5, 0, 3, 2, 6, 8, 7, 1, 4), (0, 5, 3, 2, 6, 8, 7, 1, 4), (2, 5, 3, 0, 6, 8, 7, 1, 4), (2, 5, 3, 7, 6, 8, 0, 1, 4), (2, 5, 3, 7, 6, 8, 1, 0, 4), (2, 5, 3, 7, 6, 8, 1, 4, 0), (2, 5, 3, 7, 6, 0, 1, 4, 8), (2, 5, 3, 7, 0, 6, 1, 4, 8), (2, 5, 3, 0, 7, 6, 1, 4, 8), (2, 5, 3, 1, 7, 6, 0, 4, 8), (2, 5, 3, 1, 7, 6, 4, 0, 8), (2, 5, 3, 1, 0, 6, 4, 7, 8), (2, 0, 3, 1, 5, 6, 4, 7, 8), (0, 2, 3, 1, 5, 6, 4, 7, 8), (1, 2, 3, 0, 5, 6, 4, 7, 8), (1, 2, 3, 4, 5, 6, 0, 7, 8), (1, 2, 3, 4, 5, 6, 7, 0, 8), (1, 2, 3, 4, 5, 6, 7, 8, 0)]",26,"[Left, Down, Right, Up, Left, Left, Down, Right, Up, Left, Down, Down, Right, Right, Up, Left, Left, Down, Right, Up, Up, Left, Down, Down, Right, Right]",0.1796,20832,26,2.6608,11392,4282,7111,4281,637952
NPuzzle,8,AStarSearch,manhattan,"(5, 8, 0, 6, 3, 2, 1, 7, 4)","(1, 2, 3, 4, 5, 6, 7, 8, 0)","[(5, 8, 0, 6, 3, 2, 1, 7, 4), (5, 8, 2, 6, 3, 0, 1, 7, 4), (5, 8, 2, 6, 0, 3, 1, 7, 4), (5, 8, 2, 0, 6, 3, 1, 7, 4), (5, 8, 2, 1, 6, 3, 0, 7, 4), (5, 8, 2, 1, 6, 3, 7, 0, 4), (5, 8, 2, 1, 0, 3, 7, 6, 4), (5, 0, 2, 1, 8, 3, 7, 6, 4), (5, 2, 0, 1, 8, 3, 7, 6, 4), (5, 2, 3, 1, 8, 0, 7, 6, 4), (5, 2, 3, 1, 8, 4, 7, 6, 0), (5, 2, 3, 1, 8, 4, 7, 0, 6), (5, 2, 3, 1, 0, 4, 7, 8, 6), (5, 2, 3, 1, 4, 0, 7, 8, 6), (5, 2, 0, 1, 4, 3, 7, 8, 6), (5, 0, 2, 1, 4, 3, 7, 8, 6), (0, 5, 2, 1, 4, 3, 7, 8, 6), (1, 5, 2, 0, 4, 3, 7, 8, 6), (1, 5, 2, 4, 0, 3, 7, 8, 6), (1, 0, 2, 4, 5, 3, 7, 8, 6), (1, 2, 0, 4, 5, 3, 7, 8, 6), (1, 2, 3, 4, 5, 0, 7, 8, 6), (1, 2, 3, 4, 5, 6, 7, 8, 0)]",22,"[Down, Left, Left, Down, Right, Up, Up, Right, Down, Down, Left, Up, Right, Up, Left, Left, Down, Right, Up, Right, Down, Down]",0.0273,8096,22,2.6779,1755,656,1100,655,98280
NPuzzle,8,AStarSearch,manhattan,"(0, 5, 3, 2, 4, 1, 6, 7, 8)","(1, 2, 3, 4, 5, 6, 7, 8, 0)","[(0, 5, 3, 2, 4, 1, 6, 7, 8), (2, 5, 3, 0, 4, 1, 6, 7, 8), (2, 5, 3, 4, 0, 1, 6, 7, 8), (2, 5, 3, 4, 1, 0, 6, 7, 8), (2, 5, 3, 4, 1, 8, 6, 7, 0), (2, 5, 3, 4, 1, 8, 6, 0, 7), (2, 5, 3, 4, 1, 8, 0, 6, 7), (2, 5, 3, 0, 1, 8, 4, 6, 7), (2, 5, 3, 1, 0, 8, 4, 6, 7), (2, 5, 3, 1, 6, 8, 4, 0, 7), (2, 5, 3, 1, 6, 8, 4, 7, 0), (2, 5, 3, 1, 6, 0, 4, 7, 8), (2, 5, 3, 1, 0, 6, 4, 7, 8), (2, 0, 3, 1, 5, 6, 4, 7, 8), (0, 2, 3, 1, 5, 6, 4, 7, 8), (1, 2, 3, 0, 5, 6, 4, 7, 8), (1, 2, 3, 4, 5, 6, 0, 7, 8), (1, 2, 3, 4, 5, 6, 7, 0, 8), (1, 2, 3, 4, 5, 6, 7, 8, 0)]",18,"[Down, Right, Right, Down, Left, Left, Up, Right, Down, Right, Up, Left, Up, Left, Down, Down, Right, Right]",0.008,6640,18,2.658,514,194,321,193,28784
